interval,reversal_count,method,param,param_label,final_balance,total_return,total_return_pct,max_drawdown_pct,total_trades,win_rate,profit_factor,avg_win,avg_loss,avg_daily_trades,in_trade_freq_range,trade_freq_score,days_total,days_profit,days_loss,days_over_200,avg_daily_pnl,max_daily_loss,profit_target_hit,daily_loss_ok,withdrawal_days_ok,profimr_eval_pass,profimr_withdrawal_pass,composite_score
5m,1,atr,"(14, 0.5)",atr14x0.5,469187.21,419187.21,838.37,1.54,531,51.98,13.317,1642.1,-133.46,6.0,True,0.928,88,87,1,87,4763.49,-203.79,True,True,True,True,True,87.33
5m,1,atr,"(14, 0.75)",atr14x0.75,432098.21,382098.21,764.2,0.89,301,55.81,15.205,2434.51,-202.25,3.7,True,0.572,81,78,2,78,4717.26,-917.04,True,True,True,True,True,85.23
15m,1,fixed,5,fixed5,504500.0,454500.0,909.0,1.53,366,57.92,16.303,2283.96,-192.86,4.3,True,0.655,86,84,0,84,5284.88,0.0,True,True,True,True,True,83.55
1h,1,fixed,5,fixed5,1363700.0,1313700.0,2627.4,0.85,387,82.69,92.229,4150.31,-214.93,2.4,False,0.365,163,161,2,161,8059.51,-300.0,True,True,True,True,True,82.53
5m,1,fixed,5,fixed5,432500.0,382500.0,765.0,1.46,319,53.61,14.01,2408.77,-198.65,3.8,True,0.591,83,79,3,79,4608.43,-600.0,True,True,True,True,True,81.68
5m,1,atr,"(7, 0.75)",atr7x0.75,409425.61,359425.61,718.85,1.58,209,62.68,18.549,2900.05,-262.58,2.7,False,0.412,78,73,1,73,4608.02,-401.59,True,True,True,True,True,79.05
5m,1,atr,"(7, 0.5)",atr7x0.5,443025.54,393025.54,786.05,2.11,363,52.89,14.72,2196.21,-167.53,4.3,True,0.665,84,81,2,81,4678.88,-535.46,True,True,True,True,True,79.04
15m,1,atr,"(14, 0.5)",atr14x0.5,483046.4,433046.4,866.09,2.3,314,56.69,14.89,2607.99,-229.24,3.6,True,0.555,87,82,0,82,4977.54,0.0,True,True,True,True,True,76.7
5m,2,atr,"(14, 0.5)",atr14x0.5,425373.29,375373.29,750.75,2.42,249,61.04,15.976,2634.47,-258.41,3.1,True,0.473,81,77,3,77,4634.24,-815.14,True,True,True,True,True,75.23
1h,3,fixed,5,fixed5,1064900.0,1014900.0,2029.8,1.78,271,68.27,23.705,5727.57,-519.77,1.8,False,0.276,151,137,13,137,6721.19,-1800.0,True,True,True,True,True,75.21
1h,1,fixed,10,fixed10,1132400.0,1082400.0,2164.8,1.83,283,68.9,42.0,5686.15,-300.0,1.9,False,0.288,151,139,7,139,7168.21,-1200.0,True,True,True,True,True,75.15
15m,1,atr,"(7, 0.5)",atr7x0.5,458485.01,408485.01,816.97,2.33,268,55.97,13.354,2943.67,-280.22,3.2,True,0.491,84,79,3,79,4862.92,-806.49,True,True,True,True,True,75.06
5m,3,atr,"(14, 0.5)",atr14x0.5,392563.79,342563.79,685.13,2.02,159,64.78,18.153,3519.76,-356.62,2.1,False,0.326,75,67,7,67,4567.52,-1222.71,True,True,True,True,True,74.73
1h,1,fixed,15,fixed15,983300.0,933300.0,1866.6,1.8,231,67.97,21.333,6236.94,-620.27,1.7,False,0.256,139,122,10,122,6714.39,-1800.0,True,True,True,True,True,74.69
5m,1,atr,"(14, 1.0)",atr14x1.0,412331.0,362331.0,724.66,2.43,207,59.42,17.164,3128.03,-266.86,2.6,False,0.403,79,74,4,74,4586.47,-815.14,True,True,True,True,True,73.66
1h,2,fixed,5,fixed5,1212800.0,1162800.0,2325.6,2.21,297,77.78,67.828,5109.09,-263.64,2.0,False,0.303,151,145,4,145,7700.66,-600.0,True,True,True,True,True,73.17
5m,2,fixed,5,fixed5,389000.0,339000.0,678.0,2.29,155,61.29,18.121,3776.84,-330.0,2.1,False,0.318,75,67,7,67,4520.0,-1200.0,True,True,True,True,True,72.93
15m,2,fixed,5,fixed5,433700.0,383700.0,767.4,2.54,201,64.18,14.323,3197.67,-400.0,2.5,False,0.387,80,76,3,76,4796.25,-900.0,True,True,True,True,True,72.78
5m,2,atr,"(14, 0.75)",atr14x0.75,382272.61,332272.61,664.55,2.41,155,60.0,17.224,3793.04,-330.33,2.0,False,0.314,76,64,9,64,4372.01,-1222.71,True,True,True,True,True,72.19
15m,1,atr,"(14, 0.75)",atr14x0.75,434911.1,384911.1,769.82,2.59,197,62.44,15.132,3350.8,-368.06,2.4,False,0.37,82,79,2,79,4694.04,-513.9,True,True,True,True,True,72.19
15m,1,atr,"(14, 1.0)",atr14x1.0,403563.2,353563.2,707.13,2.47,141,67.38,18.793,3930.88,-431.97,2.0,False,0.31,70,67,1,67,5050.9,-685.2,True,True,True,True,True,71.72
5m,1,fixed,10,fixed10,376400.0,326400.0,652.8,2.4,129,62.02,20.429,4290.0,-342.86,1.7,False,0.268,74,61,6,61,4410.81,-1200.0,True,True,True,True,True,71.3
5m,1,atr,"(14, 1.5)",atr14x1.5,369739.79,319739.79,639.48,2.45,131,58.02,18.433,4448.43,-333.47,1.8,False,0.28,72,58,7,58,4440.83,-1222.71,True,True,True,True,True,70.79
1h,2,fixed,10,fixed10,933200.0,883200.0,1766.4,2.4,204,71.08,19.173,6426.21,-823.73,1.5,False,0.229,137,117,17,117,6446.72,-1800.0,True,True,True,True,True,70.6
15m,2,atr,"(7, 0.5)",atr7x0.5,401224.53,351224.53,702.45,2.86,137,69.34,17.434,3922.07,-508.85,2.0,False,0.31,68,63,3,63,5165.07,-806.49,True,True,True,True,True,69.4
15m,1,atr,"(7, 1.0)",atr7x1.0,376626.71,326626.71,653.25,2.94,123,65.85,15.464,4311.21,-537.66,1.8,False,0.274,69,61,5,61,4733.72,-806.49,True,True,True,True,True,68.2
15m,1,fixed,10,fixed10,413000.0,363000.0,726.0,3.15,163,63.8,16.125,3721.15,-406.78,2.1,False,0.33,76,69,3,69,4776.32,-1200.0,True,True,True,True,True,68.05
15m,1,atr,"(7, 0.75)",atr7x0.75,412313.71,362313.71,724.63,3.17,161,65.22,16.763,3669.51,-410.44,2.1,False,0.33,75,70,2,70,4830.85,-1209.73,True,True,True,True,True,67.93
5m,3,fixed,5,fixed5,354500.0,304500.0,609.0,2.98,103,66.99,20.151,4643.48,-467.65,1.5,False,0.23,69,53,12,53,4413.04,-1200.0,True,True,True,True,True,67.11
15m,1,fixed,20,fixed20,316400.0,266400.0,532.8,3.0,75,65.33,16.857,5779.59,-646.15,1.3,False,0.199,58,43,5,43,4593.1,-1200.0,True,True,True,True,True,67.0
15m,1,atr,"(7, 1.5)",atr7x1.5,316140.29,266140.29,532.28,3.02,75,65.33,14.75,5826.45,-744.45,1.3,False,0.199,58,43,5,43,4588.63,-1209.73,True,True,True,True,True,66.91
15m,1,percentage,0.001,pct0.001,318679.85,268679.85,537.36,3.02,78,62.82,15.4,5864.04,-643.39,1.4,False,0.218,55,45,5,45,4885.09,-1243.89,True,True,True,True,True,66.87
15m,1,fixed,15,fixed15,357800.0,307800.0,615.6,3.25,115,61.74,14.68,4652.11,-511.36,1.7,False,0.26,68,57,6,57,4526.47,-1800.0,True,True,True,True,True,66.08
5m,2,atr,"(14, 1.0)",atr14x1.0,356493.71,306493.71,612.99,3.26,115,62.61,17.711,4511.59,-426.53,1.6,False,0.246,72,56,11,56,4256.86,-1630.29,True,True,True,True,True,65.73
5m,1,atr,"(7, 1.5)",atr7x1.5,323083.14,273083.14,546.17,3.21,107,55.14,13.143,5009.7,-468.53,1.6,False,0.239,69,50,14,50,3957.73,-1606.37,True,True,True,True,True,64.66
5m,1,atr,"(14, 2.0)",atr14x2.0,328778.86,278778.86,557.56,3.26,105,55.24,12.793,5214.1,-502.96,1.5,False,0.231,70,49,13,49,3982.56,-1630.29,True,True,True,True,True,64.25
15m,2,atr,"(14, 0.5)",atr14x0.5,423091.4,373091.4,746.18,3.82,163,70.55,17.5,3440.9,-471.07,2.1,False,0.326,77,75,1,75,4845.34,-342.6,True,True,True,True,True,63.91
15m,3,fixed,5,fixed5,390800.0,340800.0,681.6,3.73,133,69.92,15.753,3912.9,-577.5,1.9,False,0.297,69,61,6,61,4939.13,-900.0,True,True,True,True,True,63.9
5m,3,atr,"(7, 0.5)",atr7x0.5,358958.77,308958.77,617.92,3.73,117,61.54,16.387,4569.98,-446.21,1.7,False,0.257,70,53,13,53,4413.7,-1606.37,True,True,True,True,True,63.14
5m,1,fixed,15,fixed15,317300.0,267300.0,534.6,3.6,90,58.89,13.375,5450.94,-583.78,1.5,False,0.227,61,45,10,45,4381.97,-1800.0,True,True,True,True,True,63.12
5m,3,atr,"(14, 0.75)",atr14x0.75,349565.0,299565.0,599.13,3.67,101,67.33,17.897,4666.09,-537.25,1.5,False,0.229,68,53,12,53,4405.37,-1834.07,True,True,True,True,True,62.99
15m,1,fixed,25,fixed25,284000.0,234000.0,468.0,3.82,68,58.82,12.143,6375.0,-750.0,1.3,False,0.194,54,36,6,36,4333.33,-1500.0,True,True,True,True,True,61.78
15m,3,atr,"(14, 0.5)",atr14x0.5,380266.4,330266.4,660.53,4.32,109,71.56,20.673,4449.41,-541.53,1.8,False,0.27,62,55,3,55,5326.88,-1370.4,True,True,True,True,True,60.77
15m,2,atr,"(14, 0.75)",atr14x0.75,371187.5,321187.5,642.37,5.54,107,69.16,18.361,4590.38,-560.62,1.6,False,0.253,65,56,4,56,4941.35,-1541.7,True,True,True,True,True,60.44
15m,3,atr,"(7, 0.5)",atr7x0.5,352835.39,302835.39,605.67,4.41,95,71.58,18.068,4714.38,-657.14,1.5,False,0.232,63,54,6,54,4806.91,-1612.97,True,True,True,True,True,60.02
15m,3,fixed,10,fixed10,290600.0,240600.0,481.2,6.46,68,66.18,11.553,5853.33,-991.3,1.2,False,0.187,56,40,11,40,4296.43,-1800.0,True,True,True,True,True,60.0
15m,2,atr,"(7, 0.75)",atr7x0.75,345173.77,295173.77,590.35,4.46,91,65.93,16.742,5232.08,-604.86,1.5,False,0.23,61,50,3,50,4838.91,-1209.73,True,True,True,True,True,60.0
15m,2,fixed,10,fixed10,347600.0,297600.0,595.2,4.43,91,65.93,17.533,5260.0,-580.65,1.5,False,0.23,61,49,5,49,4878.69,-1800.0,True,True,True,True,True,60.0
5m,3,fixed,25,fixed25,207500.0,157500.0,315.0,7.26,15,80.0,36.0,13500.0,-1500.0,0.9,False,0.144,16,11,2,11,9843.75,-1500.0,True,True,True,True,True,60.0
15m,1,atr,"(14, 2.0)",atr14x2.0,287079.2,237079.2,474.16,4.21,74,60.81,9.65,5877.49,-945.1,1.3,False,0.2,57,40,9,40,4159.28,-1370.4,True,True,True,True,True,60.0
5m,2,atr,"(14, 1.5)",atr14x1.5,310438.14,260438.14,520.88,4.31,76,64.47,14.312,5714.32,-724.57,1.3,False,0.205,57,41,11,41,4569.09,-1222.71,True,True,True,True,True,60.0
